,Country,Ladder,Positive affect,Negative affect,Social support,Freedom,Corruption,Generosity,Log of GDP per capita,Healthy life expectancy,Region,Cluster_KMeans,Cluster_DBSCAN
0,Paraguay,0.602564103,1.0,0.25,0.814102564,0.788461538,0.487179487,0.576923077,0.429487179,0.487179487,Latin America and Caribbean,1,-1
1,Somalia,0.288461538,0.9935897440000001,0.115384615,0.076923077,0.916666667,0.102564103,0.39102564100000003,0.0,0.083333333,Sub-Saharan Africa,1,-1
2,Iceland,0.9807692309999999,0.987179487,0.019230768999999998,1.0,0.961538462,0.288461538,0.987179487,0.91025641,0.923076923,Western Europe,2,0
3,Costa Rica,0.9294871790000001,0.9807692309999999,0.557692308,0.737179487,0.903846154,0.37179487200000005,0.5256410260000001,0.576923077,0.826923077,Latin America and Caribbean,2,0
4,Laos,0.333333333,0.974358974,0.7179487179999999,0.237179487,0.865384615,0.173076923,0.788461538,0.35256410299999996,0.288461538,Southeastern Asia,1,-1
5,Mexico,0.8589743590000001,0.9679487179999999,0.256410256,0.576923077,0.551282051,0.557692308,0.237179487,0.641025641,0.711538462,Latin America and Caribbean,1,0
6,Panama,0.807692308,0.961538462,0.307692308,0.7435897440000001,0.8012820509999999,0.666666667,0.44230769200000003,0.6794871790000001,0.794871795,Latin America and Caribbean,1,0
7,Guatemala,0.833333333,0.955128205,0.544871795,0.506410256,0.846153846,0.5256410260000001,0.506410256,0.37179487200000005,0.46153846200000004,Latin America and Caribbean,1,0
8,Indonesia,0.41666666700000005,0.9487179490000001,0.666666667,0.403846154,0.6987179490000001,0.826923077,0.9935897440000001,0.474358974,0.37820512799999995,Southeastern Asia,1,-1
9,Uruguay,0.794871795,0.942307692,0.487179487,0.7820512820000001,0.814102564,0.21153846199999998,0.493589744,0.673076923,0.7820512820000001,Latin America and Caribbean,2,0
10,Ecuador,0.685897436,0.935897436,0.724358974,0.551282051,0.737179487,0.435897436,0.39743589700000004,0.455128205,0.7179487179999999,Latin America and Caribbean,1,0
11,Netherlands,0.974358974,0.9294871790000001,0.16025641,0.91025641,0.884615385,0.076923077,0.961538462,0.9294871790000001,0.8910256409999999,Western Europe,2,0
12,Honduras,0.628205128,0.923076923,0.467948718,0.467948718,0.7564102559999999,0.506410256,0.6794871790000001,0.282051282,0.641025641,Latin America and Caribbean,1,0
13,Trinidad and Tobago,0.7564102559999999,0.916666667,0.333333333,0.8205128209999999,0.6794871790000001,0.903846154,0.7435897440000001,0.762820513,0.41025641,Latin America and Caribbean,1,-1
14,Chile,0.83974359,0.91025641,0.5,0.634615385,0.37820512799999995,0.634615385,0.7179487179999999,0.692307692,0.814102564,Latin America and Caribbean,1,-1
15,Norway,0.987179487,0.903846154,0.18589743600000003,0.987179487,0.987179487,0.051282050999999995,0.935897436,0.961538462,0.9294871790000001,Western Europe,2,0
16,Taiwan,0.846153846,0.897435897,0.006410256,0.6987179490000001,0.35256410299999996,0.35897435899999997,0.647435897,0.0,0.0,Eastern Asia,1,-1
17,Canada,0.9487179490000001,0.8910256409999999,0.314102564,0.878205128,0.9487179490000001,0.07051282099999999,0.916666667,0.884615385,0.955128205,North America,2,0
18,Uzbekistan,0.7435897440000001,0.884615385,0.096153846,0.935897436,1.0,0.115384615,0.8205128209999999,0.33974359,0.474358974,Central and Eastern Europe,2,-1
19,Thailand,0.673076923,0.878205128,0.224358974,0.666666667,0.8910256409999999,0.83974359,0.942307692,0.608974359,0.634615385,Southeastern Asia,1,0
20,China,0.41025641,0.871794872,0.07051282099999999,0.314102564,0.807692308,0.0,0.153846154,0.570512821,0.788461538,Eastern Asia,1,-1
21,New Zealand,0.955128205,0.865384615,0.076923077,0.974358974,0.955128205,0.032051282,0.955128205,0.83974359,0.916666667,Australia and New Zealand,2,0
22,El Salvador,0.7820512820000001,0.8589743590000001,0.538461538,0.474358974,0.5320512820000001,0.544871795,0.14743589699999998,0.365384615,0.5256410260000001,Latin America and Caribbean,1,0
23,Denmark,0.9935897440000001,0.852564103,0.166666667,0.9807692309999999,0.9679487179999999,0.019230768999999998,0.865384615,0.916666667,0.8589743590000001,Western Europe,2,0
24,Malaysia,0.493589744,0.846153846,0.14743589699999998,0.384615385,0.775641026,0.878205128,0.833333333,0.75,0.628205128,Southeastern Asia,1,0
25,Swaziland,0.141025641,0.83974359,0.365384615,0.346153846,0.282051282,0.26282051300000003,0.076923077,0.39102564100000003,0.0,Africa,0,1
26,Cambodia,0.307692308,0.833333333,0.91025641,0.307692308,0.9935897440000001,0.602564103,0.615384615,0.26282051300000003,0.35256410299999996,Southeastern Asia,1,-1
27,Argentina,0.705128205,0.826923077,0.596153846,0.711538462,0.66025641,0.6987179490000001,0.217948718,0.653846154,0.7692307690000001,Latin America and Caribbean,1,0
28,Gambia,0.237179487,0.8205128209999999,0.6987179490000001,0.205128205,0.435897436,0.166666667,0.596153846,0.115384615,0.173076923,Africa,0,-1
29,Colombia,0.7307692309999999,0.814102564,0.564102564,0.673076923,0.647435897,0.794871795,0.294871795,0.5320512820000001,0.6794871790000001,Latin America and Caribbean,1,0
30,Nicaragua,0.7179487179999999,0.807692308,0.8012820509999999,0.583333333,0.557692308,0.275641026,0.551282051,0.314102564,0.666666667,Latin America and Caribbean,1,0
31,Sri Lanka,0.173076923,0.8012820509999999,0.519230769,0.493589744,0.653846154,0.711538462,0.7820512820000001,0.5,0.66025641,Southern Asia,1,-1
32,Ireland,0.903846154,0.794871795,0.205128205,0.9679487179999999,0.794871795,0.064102564,0.9487179490000001,0.9679487179999999,0.878205128,Western Europe,2,0
33,Sweden,0.961538462,0.788461538,0.051282050999999995,0.846153846,0.942307692,0.038461537999999997,0.897435897,0.923076923,0.897435897,Western Europe,2,0
34,United States,0.884615385,0.7820512820000001,0.448717949,0.7692307690000001,0.608974359,0.269230769,0.9294871790000001,0.942307692,0.7564102559999999,North America,2,0
35,Peru,0.58974359,0.775641026,0.814102564,0.512820513,0.615384615,0.846153846,0.19871794899999998,0.519230769,0.705128205,Latin America and Caribbean,1,0
36,Bhutan,0.39743589700000004,0.7692307690000001,0.628205128,0.570512821,0.628205128,0.16025641,0.923076923,0.39743589700000004,0.33974359,Southern Asia,1,-1
37,Singapore,0.788461538,0.762820513,0.012820513,0.775641026,0.878205128,0.006410256,0.871794872,0.987179487,1.0,Southeastern Asia,2,0
38,Bahrain,0.7692307690000001,0.7564102559999999,0.5320512820000001,0.628205128,0.852564103,0.0,0.8589743590000001,0.878205128,0.737179487,Middle East and Northern Africa,2,0
39,South Africa,0.326923077,0.75,0.512820513,0.602564103,0.46153846200000004,0.653846154,0.435897436,0.512820513,0.217948718,Sub-Saharan Africa,1,1
40,Finland,1.0,0.7435897440000001,0.064102564,0.9935897440000001,0.974358974,0.025641026,0.705128205,0.865384615,0.833333333,Western Europe,2,0
41,Philippines,0.564102564,0.737179487,0.7435897440000001,0.5256410260000001,0.91025641,0.314102564,0.269230769,0.384615385,0.37179487200000005,Southeastern Asia,1,0
42,United Arab Emirates,0.871794872,0.7307692309999999,0.35897435899999997,0.544871795,0.9807692309999999,0.0,0.91025641,0.9807692309999999,0.621794872,Middle East and Northern Africa,2,0
